"year","rate","min","max","filingStatus"
2022,0,0,40400,"single"
2022,0.15,40401,445850,"single"
2022,0.2,445851,999999999999,"single"
2022,0,0,40400,"marriedFilingSeparately"
2022,0.15,40401,445850,"marriedFilingSeparately"
2022,0.2,445851,999999999999,"marriedFilingSeparately"
2022,0,0,80800,"marriedFilingJointly"
2022,0.15,80801,501600,"marriedFilingJointly"
2022,0.2,501601,999999999999,"marriedFilingJointly"
2022,0,0,54100,"headOfHousehold"
2022,0.15,54101,473750,"headOfHousehold"
2022,0.2,473751,999999999999,"headOfHousehold"
